,stop_id,stop_lat,stop_lon,stop_name,no_of_passengers_avg
0,4075,13.01167857,77.67051314,"Manipal,RAMAMURTHI NAGARA,IN FRONT OF PETRA PARK",8
1,1883,12.83536111,77.52675,"Vaddarapalya,VADERAHALLI,OPPOSITE OF GOVT.HIGHER PRIMARY SCHOOL",41
2,2838,13.00860137,77.41158008,"BASAVESHWARA NAGARA,BASAVESHWARA NAGARA,BESIDE OPEN AREA",6
3,1308,12.860755,77.783635,"Sarjapura Police Station,Sarjapura,Police Station",25
4,993,12.99738282,77.54869861,"navarang talkies,RAJAJINAGARA,IN FRONT OF SAGUR CLINIC",42
5,4988,12.774992,77.641468,"TATA Advance,Beside Open Area",11
6,3444,13.00010153,77.58386579,"RM Guttahalli,PALACE GUTTAHALLI,BESIDE GARUDA SEVADAL",23
7,3972,13.2165529,77.65735078,"Poojenahalli,OPPOSITE OF ANJANEYA TEMPLE",43
8,3548,13.11118921,77.60497509,"Venkatala,VENKATALA,BESIDE MARUTI SUZUKI BIMAL AUTO AGENCY",38
9,603,12.99823,77.62249,"ITC,COOKES ROAD,OPPOSITE OF MANJIT DHABA",13
10,588,12.92277845,77.49617267,"Dubasi palya cross,Opp to Car godown",39
11,3609,13.12995502,77.57151083,"Nagenahalli Gate,IN FRONT OF HUNASEMARA",34
12,1759,12.97567536,77.60833072,"Maniksha Pardeground,M.G.ROAD,BESIDE PARADE GROUND",22
13,4580,12.94697628,77.76762167,"Vallepura Gate,IN FRONT OF MARIYAMMA TEMPLE",6
14,3423,13.05005578,77.5575584,"BEL Hospital,JALAHALLI,BESIDE OPPOSITE B.E.L. HOSPITAL",8
15,1835,12.88568679,77.54180833,"Gubbalala,GUBLALA,IN FRONT OF ANJANEYA TEMPLE",22
16,4256,12.96586987,77.83939224,"Devanagundi Cross,DEVANAGONDI,OPPOSITE OF SANITY SHELTERS",12
17,3285,13.02158338,77.46780768,"Gangondanahalli,GANGONDANAHALLI,BESIDE GOVERNMENT PRIMARY SCHOOL",0
18,2606,12.966599,77.504882,Deepa Complex,37
19,4377,13.04636083,77.78497627,"SARKAR GUTTAHALLI,BESIDE JOTHI SCHOOL",45
20,1219,12.91552111,77.56969471,"Yarab Nagara,Adjacent to hostel",17
21,242,12.9342609,77.62992781,Maharaja Hotel Koramangala,43
22,3401,13.1053921,77.55435328,"Veerasagara,VEERASAGARA,BESIDE JAI MARUTHI PROVISION STORE",22
23,137,12.99144629,77.75599869,Prajwal School,14
24,152,12.9694407,77.64121416,"HAL 12th Main,HAL 2ND STAGE,BESIDE AXIS BANK",11
25,4309,13.004279,77.709977,"Ayyappa Nagara,AYYAPPA NAGARA,OPPOSITE OF RAASHI MEDICALS",41
26,1580,12.98902604,77.54684762,"Shivanahalli,SHIVANAGARA,IN FRONT OF ARYA CARS",39
27,1143,12.93092499,77.57832505,"Jayanagara 6th Block,JAYANAGARA 7TH BLOCK,BESIDE NATURE NEST",22
28,3502,13.09844,77.59691,YELAHANKA,15
29,917,13.09971085,77.58864113,Sheshadripuram College,16
30,4467,12.9833763,77.72861208,Satya Sai Hospital,40
31,1685,12.96681699,77.66171371,Jn of Suranjandas Road,3
32,5173,13.06132854,77.46150674,"Madanayakanahalli,MADUNAYAKANAHALLI,BESIDE BUILDING",30
33,2822,12.96944467,77.51465359,"Park,NAGARABHAVI 2ND STAGE,IN FRONT OF GANDHIPARK",23
34,4438,13.0296449,77.82624018,MALUR CROSS,22
35,4599,12.94126087,77.69658107,"Kadabisanahalli,KADABEESANAHALLI,OPPOSITE OF TREND ENTERPRISES",18
36,3170,13.06158216,77.34217294,"Yentaganahalli,YANTAGANAHALLI,BESIDE ASHA KIRAN AYURVEDIC HOSPITAL",22
37,3870,13.07749589,77.60619129,"Government School,JAKKURU,IN FRONT OF PROVISION STORE",30
38,2589,12.9744004,77.52083019,"Panchsheela Nagara,PANCHASHEELA NAGARA,BESIDE MANJUNATHA UPAHARA AND MOWNESHWARA WOOD & FURNITURES",15
39,2682,12.94750554,77.27123901,Maralagondalu,30
40,4919,12.79976284,77.76077387,"Jigala,ATTIBELE HOBLI,IN FRONT OF SRI NAGALINGESHWARA TEMPLE",23
41,226,12.91979537,77.56913428,"Cauvery Nagara,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE VINAYAKA SABHA BHAVANA",20
42,1466,12.99790693,77.55129003,"Navarang Talkies,RAJAJINAGARA,BESIDE SHIKAR BAR",40
