,stop_id,stop_name
0,2569,"National Law College,JNANA BHARATHI,IN FRONT OF AUTOMIC MINERAL RESEARCH OFFICE"
1,3248,"KAMBADA KALLU,KAMBADA KALLU,BESIDE OPEN AREA"
2,928,Ganganagara
3,3771,"Maralakunte,MARALAKUNTE,BESIDE PITTY SHOP"
4,4868,YARANDAHALLI GATE
5,5035,Chikka Indlawadi
6,200,"AECS Layout,KUNDALAHALLI,OPPOSITE OF BROOK FIELD"
7,377,Sirsi Circle
8,109,"Subramanyapura Police station,SUBRAMANYA PURA,IN FRONT OF POST OFFICE"
9,3609,"Nagenahalli Gate,IN FRONT OF HUNASEMARA"
10,3966,"Bashatta Halli,IN FRONT OF GOVT.SCHOOL"
11,2396,"Chunchanakuppe,CHUNCHANAKUPPE,IN FRONT OF RENUKA STORE"
12,3415,Sharada Nagara
13,1100,"Chennamma kere Achukattu,BANASHANKARI 3RD STAGE,MAIN STAND"
14,423,"Konanakunte Cross,KONANA KUNTE CROSS,IN FRONT OF KARUR VYSHYA BANK ATM"
15,2541,"Borehalli,IN FRONT OF WATER TANK"
16,4578,"Janatha mane,MADHURA NAGARA,IN FRONT OF KRISHNA BEKARY AND SWEETS"
17,4279,"Lingadeva Mallasandra Gate,OPPOSITE OF GOVT. SCHOOL"
18,5180,"Manjunathanagara,RAJAJINAGARA,BESIDE CITY HOSPITALS"
19,4156,"Dunnasandra Cross,OPPOSITE OF SHRUNGA VIDYALAYA"
20,5150,Honachanahalli
21,3732,"Virupakshapura,VIRUPAKSHAPURA,BESIDE OPEN AREA"
22,4647,"Kasavanahalli,CARMELARAM POST,IN FRONT OF HI LOOK BAKE & KOOL & OPPOSITE OF KOSAMATTAM FINANCE"
23,1034,"Jyothi School Lingarajapura,KACHAKARANAHALLI"
24,4640,"Gattahalli,HUSKURU POST,OPPOSITE OF GOVT. PRIMARY SCHOOL"
25,1414,"Gangondahalli Water Tank,GANGADHARA HALLI, AHMED NAGARA,IN FRONT OF ROYAL AUTO PARTS"
26,3446,"Chikkalasandra AraliMara,CHIKKALASANDRA,OPPOSITE OF GOVT.MIDDLE SCHOOL"
27,4253,"D Hosahalli Cross,DEVANAGONDI,BESIDE RENUKA MAHESHWARI  WOOD WORKS"
28,4133,"Naduvatti,NADAVATHI,OPPOSITE OF GOVT.SCHOOL"
29,781,"Jalahalli Police Station,BHARAT ELECTRONICS LIMITED,OPPOSITE OF JALAHALLI POLICE STAION"
30,4550,"Sarjapura Police Station,POLICE STATION"
31,246,Agara Junction
32,2454,"Suliwara Cross,OPPOSITE OF I.S.R.O. CENTER"
33,2682,Maralagondalu
34,2674,Devamachohalli
35,2388,"koluru,KOLURU,IN FRONT OF BASAVANNA TEMPLE"
36,3688,"Kumbalagunte Cross,KUMBALA GUNTE,BESIDE OPEN AREA"
37,131,Varthuru Kodi
38,5323,"Koramangala TTMC,Koramangala,Near Dominos Pizza"
39,932,"Kumaraswamy Layout Police Station,KUMARA SWAMY LAYOUT,IN FRONT OF IIFL"
40,5065,"Channasandra,CHANASANDRA,IN FRONT OF APOLLO PHARMACY"
41,922,GKVK
42,5340,"Jalahalli Guard Room,Jalahalli Air Force Station,opp State Bank India"
43,347,"Ganesha Temple,HAL 3RD STAGE,OPPOSITE OF GANESHA TEMPLE"
44,4988,"TATA Advance,Beside Open Area"
45,474,"Vijayanagara,VIJAYANAGARA,IN FRONT OF INDRAPRASTHA HOTEL"
46,3271,"Dombarahatti Dongadipura Cross,DOMBARAHALLI,BESIDE PROVISION STORE"
47,3270,"KG Lakkenahalli Cross,K.G.LAKKENAHALLI CROSS,BESIDE RESIDENTIAL AREA"
48,1647,"Kabhir Ashram,Opp to Meenakshi Apartments"
49,2629,"Machohalli Colony,MACHOHALLI,BESIDE RESIDENTIAL AREA"
50,871,NAGAVARA JUNCTION
51,1357,"ANJANEYA TEMPLE,PRAMODHA LAYOUT,OPPOSITE OF ANJANEYA TEMPLE"
52,2740,"Gowdana palya,POOJAIEN PALYA,BESIDE OPEN AREA"
53,779,"HMT Post Office,H.M.T.,OPPOSITE OF WATER TANK"
54,5220,"Kadirenahalli Cross,Banashankari,Under Pass"
55,1071,Hosakote Kodi
56,1862,"Somanahalli Gate,SOMANAHALLI,IN FRONT OF SARASWATHI ELECTRONICS"
57,2217,"Doddamarana Halli,IN FRONT OF MARAMMA TEMPLE"
58,2001,"Tattaguppe,TATGUPPE,IN FRONT OF DONA PAULA CLINIC"
59,451,"Rajaji Nagar 1st Block,RAJAJINAGARA,BESIDE DIACON HOSPITAL"
60,697,"Rolling Mill,PEENYA INDUSTRIAL AREA,IN FRONT OF HITZE EQUIPMENTS PVT LTD"
61,3163,"Hunasemara Nelamangala,NELAMANGALA,IN FRONT OF SURYA MEDICALS"
62,3622,"Shanabhoganahalli Dibbur,SHANBOGANAHALLI,BESIDE RESIDENTIAL AREA"
63,4067,"Manipal,RAMAMURTHI NAGARA,OPPOSITE OF PETRA PARK"
64,3130,"Karekallu Cross,YANTAGANAHALLI,IN FRONT OF TOLL PLAZA"
65,5249,"Basavana Devastana,BASAVANNA TEMPLE,BESIDE KIRAN TAILORS"
66,5171,"Bireshwara Circle,SOUNDARYA LAYOUT,BESIDE RESIDENTIAL AREA"
67,2910,"HMT Shopping Complex,H.M.T.,OPPOSITE OF H.M.T.QUARTERS"
68,2609,"Gidadakonenahalli,Muddanapalya"
69,537,"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE KRISHNA SEVA ASHRAMA HOSPITAL"
70,306,"Sampigehalli,BHANNERGAHTTA POST"
71,4746,"Vabasandra,HULIMANGALA POST & JIGANI HUBLI,OPPOSITE OF BASAVESHWARA TEMPLE"
72,1193,"Konnappana Agrahara,ELECTRONIC CITY POST,IN FRONT OF AXIS BANK"
73,273,JP Nagara 3rd Phase
74,740,BWSSB Quarters
75,1602,"Bashayam Circle Sadashiva Nagara,RAJAJI NAGARA,IN FRONT OF HOTEL GANESH PRASAD"
76,3651,"Bashatta Halli,OPPOSITE OF GOVT.SCHOOL"
